"","站名","年","月","PM2.5 天數","PM10 天數","PM2.5 average","PM10 average","縣市","鄉鎮"
"277","麥寮","2015","01",18,6,41.2148678226869,105.408193080879,"雲林縣","麥寮鄉"
"278","善化","2015","01",23,1,48.7947777211101,82.4479716520039,"臺南市","善化區"
"279","復興","2015","01",30,4,52.0455736993255,99.6768767114139,"高雄市","前鎮區"
"280","湖口","2015","01",10,0,25.9608461898083,55.5714224998937,"新竹縣","湖口鄉"
"281","菜寮","2015","01",9,0,26.9523726040206,51.0707273091565,"新北市","三重區"
"282","陽明","2015","01",2,0,16.57694228399,23.815969654469,"臺北市","北投區"
"283","新竹","2015","01",13,0,30.4665731650304,55.0020453482936,"新竹市","東區"
"284","新店","2015","01",7,0,27.4402368708119,44.0106747701418,"新北市","新店區"
"285","新莊","2015","01",13,0,28.5677302477793,53.3633707339878,"新北市","新莊區"
"286","新港","2015","01",21,4,41.7200794763908,92.8815451145395,"嘉義縣","新港鄉"
"287","新營","2015","01",23,3,45.9040176624144,91.7215616898296,"臺南市","新營區"
"288","楠梓","2015","01",28,7,48.0046485188491,107.709496791194,"高雄市","楠梓區"
"289","萬里","2015","01",4,0,22.537914913511,65.0443080878915,"新北市","萬里區"
"290","萬華","2015","01",7,0,25.0959560542309,48.8635354243699,"臺北市","萬華區"
"291","嘉義","2015","01",22,2,44.6758086778423,90.6983987844787,"嘉義市","西區"
"292","彰化","2015","01",15,0,35.0960478861952,63.0469261337073,"彰化縣","彰化市"
"293","臺西","2015","01",15,1,39.1668579200136,70.5167017297803,"雲林縣","臺西鄉"
"294","臺東","2015","01",1,0,16.0954885460496,31.2023726040206,"臺東縣","臺東市"
"295","臺南","2015","01",21,0,42.8171246121807,83.5941561477326,"臺南市","中西區"
"296","鳳山","2015","01",22,10,44.4682499975235,117.980116290397,"高雄市","鳳山區"
"297","潮州","2015","01",26,2,44.5617801436525,96.590309830422,"屏東縣","潮州鎮"
"298","線西","2015","01",15,0,35.4576320710612,67.0172393641889,"彰化縣","線西鄉"
"299","橋頭","2015","01",30,1,49.2719728845255,91.8420991117345,"高雄市","橋頭區"
"300","頭份","2015","01",13,0,29.0940860215054,58.4980130902291,"苗栗縣","頭份鎮"
"301","龍潭","2015","01",10,0,28.4287050023375,59.2573632538569,"桃園市","龍潭區"
"302","豐原","2015","01",7,0,26.190492887197,49.5648819390054,"臺中市","豐原區"
"303","關山","2015","01",2,0,17.1139285562497,34.1075321943134,"臺東縣","關山鎮"
"304","觀音","2015","01",8,0,27.775437454084,68.8829142456422,"桃園市","觀音區"
"305","二林","2016","01",6,0,24.9661255321968,48.0644647739669,"彰化縣","二林鎮"
"306","三重","2016","01",4,0,20.6177514981512,55.7331867057674,"新北市","三重區"
"307","三義","2016","01",0,0,13.2136512388967,30.6998013090229,"苗栗縣","三義鄉"
"308","土城","2016","01",5,0,21.6419682471313,35.1513834551315,"新北市","土城區"
"309","士林","2016","01",3,0,16.832856757794,31.6826439105541,"臺北市","北投區"
